side,fund,source,type,nav,broker_code,statement_id,record_id,blk_cusip,sec_id_type,sec_id,sec_desc,orig_face,cur_par,fee_amt,collateral,restricted,ind_amt,recv_amount,deliv_amount,avail_amt,deal_amount,foreign_amount,sec_type,sec_group,ext_asset_info,ref_entity,maturity,price_date,ext_asset_info_null_safe,sec_type_null_safe,orig_face_plus_fee_amt_factor_plus_1,orig_face_minus_collateral_factor_minus_1,fail_face_coll,orig_face_abs
A,844350,S,,,BR100,354199217,35630639000,000000XX0,CUSIP,US000000000,SECURITY 0,13149.11,13280.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,FUT,Single,,2026-03-17,FUT,COMMON,13149.11,13149.11,13149.11,13149.11
B,844350,S,,,BR101,354199212,35630639001,000000XX0,CUSIP,US000000000,SECURITY 0,1475.2,1489.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,FUT,Single,,2026-03-17,FUT,COMMON,1475.2,1475.2,1475.2,1475.2
A,844350,S,,,BR102,354199217,35630639002,000001XX1,CUSIP,US000000001,SECURITY 1,6225.56,6287.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,OPT,Single,,2026-03-17,OPT,COMMON,6225.56,6225.56,6225.56,6225.56
B,844350,S,,,BR103,354199212,35630639003,000001XX1,CUSIP,US000000001,SECURITY 1,5241.0,5293.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,OPT,Single,,2026-03-17,OPT,COMMON,5241.0,5241.0,5241.0,5241.0
A,844350,S,,,BR104,354199217,35630639004,000002XX2,CUSIP,US000000002,SECURITY 2,14992.95,15142.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,BKL,Single,,2026-03-17,BKL,COMMON,14992.95,14992.95,14992.95,14992.95
B,844350,S,,,BR105,354199212,35630639005,000002XX2,CUSIP,US000000002,SECURITY 2,13857.29,13995.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,BKL,Single,,2026-03-17,BKL,COMMON,13857.29,13857.29,13857.29,13857.29
A,844350,S,,,BR106,354199217,35630639006,000003XX3,CUSIP,US000000003,SECURITY 3,17951.41,18130.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,FUT,Single,,2026-03-17,FUT,COMMON,17951.41,17951.41,17951.41,17951.41
B,844350,S,,,BR107,354199212,35630639007,000003XX3,CUSIP,US000000003,SECURITY 3,2651.84,2678.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,FUT,Single,,2026-03-17,FUT,COMMON,2651.84,2651.84,2651.84,2651.84
A,844350,S,,,BR108,354199217,35630639008,000004XX4,CUSIP,US000000004,SECURITY 4,9016.51,9106.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,OPT,Single,,2026-03-17,OPT,COMMON,9016.51,9016.51,9016.51,9016.51
B,844350,S,,,BR109,354199212,35630639009,000004XX4,CUSIP,US000000004,SECURITY 4,1566.15,1581.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMON,EQUITY,OPT,Single,,2026-03-17,OPT,COMMON,1566.15,1566.15,1566.15,1566.15
